sección censal,renta media
2807910098,11795.0
2807910099,12828.0
2807910100,12165.0
2807910101,12464.0
2807910102,12769.0
2807910103,10376.0
2807910104,14942.0
2807910106,15848.0
2807910107,16317.0
2807910108,14795.0
2807910109,14759.0
2807910110,9689.0
2807910111,8824.0
2807910112,9257.0
2807910113,10031.0
2807910114,9400.0
2807910115,9150.0
2807910116,14029.0
2807910117,16524.0
2807910118,14466.0
2807910119,16890.0
2807910120,13165.0
2807910121,11085.0
2807910122,14243.0
2807910123,14598.0
2807910124,10119.0
2807910125,12402.0
2807910126,10856.0
2807910127,11012.0
2807910128,12751.0
2807910129,16042.0
2807910130,13996.0
2807910131,13556.0
2807910132,14693.0
2807910133,15075.0
2807910134,13740.0
2807910135,12723.0
2807910136,12243.0
2807910137,10329.0
2807910138,16699.0
2807910139,10156.0
2807910140,13310.0
2807910142,10699.0
2807910143,12458.0
2807910144,8656.0
2807910145,10612.0
2807910146,10839.0
2807910147,9436.0
2807910148,8135.0
2807910149,9095.0
2807910150,9350.0
2807910151,11205.0
2807910152,15402.0
2807910153,15232.0
2807910154,11675.0
2807910156,17585.0
2807910157,18253.0
2807910158,16902.0
2807910159,16322.0
2807910161,11424.0
2807910162,10363.0
2807910163,10873.0
2807910164,9471.0
2807910165,12492.0
2807910167,14125.0
2807910168,10291.0
2807910169,10531.0
2807910170,12015.0
2807910171,12251.0
2807910172,12099.0
2807910173,13330.0
2807910174,12289.0
2807910175,11703.0
2807910176,12237.0
2807910178,12924.0
2807910179,10917.0
2807910180,11996.0
2807910181,10893.0
2807910182,9906.0
2807910183,11851.0
2807910184,12456.0
2807910185,10962.0
2807910187,10780.0
2807910188,11157.0
2807910189,11333.0
2807910190,11397.0
2807910191,11332.0
2807910192,13774.0
2807910193,11275.0
2807910194,13187.0
2807910196,12092.0
2807910197,13246.0
2807910198,12853.0
2807910199,12494.0
2807910201,13676.0
2807910202,13028.0
2807910203,12992.0
2807910204,11758.0
2807910205,17307.0
2807910206,19394.0
2807910207,16743.0
2807910209,13642.0
2807910210,11086.0
2807910211,16493.0
2807910212,18209.0
2807910213,16074.0
2807910214,14056.0
2807910215,15120.0
2807910216,16290.0
2807910217,14143.0
2807910218,16749.0
2807910219,14882.0
2807910220,12470.0
2807910221,
2807911001,12362.0
2807911002,13439.0
2807911003,15139.0
2807911004,14688.0
2807911005,13027.0
2807911006,13068.0
2807911007,9725.0
2807911010,14813.0
2807911011,12063.0
2807911012,10976.0
2807911013,10510.0
2807911015,10298.0
2807911016,10723.0
2807911017,9359.0
2807911018,8877.0
2807911019,12305.0
2807911021,9490.0
2807911022,12454.0
