ID,Value,C,D,E,F,G,H,I
18034,18034,PSOE,29.73,21.86,14.36,16.01,7.37,7.5
12082,12082,PSOE,42.93,19.57,9.78,11.96,7.61,5.98
12081,12081,PSOE,39.13,16.85,11.96,19.2,5.25,5.43
11167,11167,PSOE,33.6,25.65,17.69,11.53,4.97,5.57
10190,10190,PSOE,29.58,26.96,14.38,14.54,6.54,6.21
11098,11098,PSOE,29.19,24.75,19.09,12.56,6.16,6.4
13022,13022,PSOE,38.39,15.4,17.41,15.18,6.03,6.03
10170,10170,PSOE,32.95,20.74,12.78,15.91,7.39,7.95
18026,18026,PSOE,43.94,10.25,16.25,17.44,5.06,5.33
13028,13028,PSOE,44.56,7.48,15.65,19.39,4.08,6.8
10199,10199,PSOE,30.81,27.87,17.46,9.78,6.94,5.47
13209,13209,PSOE,32.57,12.09,10.09,26.67,6.29,10.19
13204,13204,PODEMOS-IU,30.23,12.11,7.07,30.52,6.1,11.14
12086,12086,PSOE,44.19,12.68,17.97,12.9,5.92,4.86
11165,11165,PSOE,35.89,22.51,16.91,12.65,5.23,4.62
13108,13108,PSOE,40.08,10.22,10.84,19.94,7.46,9.51
10173,10173,PSOE,28.91,21.19,17.18,15.43,8.33,6.17
18033,18033,PP,28.35,30.27,13.41,13.79,7.02,5.11
12090,12090,PSOE,33.17,24.76,11.3,18.03,4.81,5.05
13030,13030,PSOE,39.33,11.64,10.83,26.86,2.66,6.44
10174,10174,PSOE,30.98,22.9,18.01,11.45,6.4,6.9
10189,10189,PSOE,33.96,23.22,14.61,14.86,5.24,5.62
13211,13211,PSOE,38.94,10.8,12.74,20.18,7.79,8.5
18007,18007,PSOE,35.04,18.08,14.51,16.07,6.7,8.04
13111,13111,PSOE,38.29,10.98,11.22,24.88,5.61,6.59
10210,10210,PSOE,32.36,21.36,18.45,13.75,7.93,4.37
13110,13110,PSOE,43.54,11.24,11,20.81,4.78,6.7
11125,11125,PSOE,25.9,24.74,18.04,15.21,6.96,7.22
13023,13023,PSOE,40.29,14.5,14.5,17.44,7.86,2.95
12080,12080,PSOE,34.69,26.73,10.09,15.22,6.37,3.72
12079,12079,PSOE,37.21,18.26,13.93,16.44,7.31,5.48
11122,11122,PSOE,35.53,20.92,14.61,13.18,6.88,6.02
10175,10175,PSOE,30.22,24.44,16.23,14.74,5.97,5.6
11168,11168,PSOE,35.38,25.99,16.79,8.12,6.32,5.78
10201,10201,PSOE,29.3,25.07,14.29,12.83,8.45,6.85
10156,10156,PP,4.98,49.44,34.67,4.17,4.49,1.77
18038,18038,PSOE,42.54,13.82,16.01,16.23,4.61,3.73
13104,13104,PSOE,32.36,13.42,12.85,24.01,7.1,7.22
12044,12044,PSOE,36.64,20,16.99,11.68,9.2,3.54
12027,12027,PSOE,31.99,18.01,17,15.11,8.44,6.8
13127,13127,PSOE,25.71,17.78,15.3,18.84,12.18,8.57
10176,10176,PSOE,30.29,22.88,16.8,16.53,5.29,6.48
18008,18008,PSOE,36.7,15.43,11.52,20.57,6.56,5.67
12039,12039,PSOE,44.02,18.16,10.68,15.17,5.56,4.7
10169,10169,PSOE,36.68,21.96,11.45,15.65,6.31,5.61
11169,11169,PSOE,35.97,18.38,15.51,17.19,4.94,5.14
18009,18009,PSOE,37.52,15.14,12.55,19.37,5.87,6.96
12042,12042,PSOE,44.95,16.49,14.89,13.3,3.72,5.32
13112,13112,PSOE,43.27,6.05,11.2,25.57,4.69,7.41
13031,13031,PSOE,44.34,9.7,14.09,18.71,6.24,4.62
12078,12078,PSOE,29.62,23.69,13.41,20.38,6.45,5.05
18030,18030,PSOE,30.43,27.67,12.85,13.83,7.71,6.92
11121,11121,PSOE,42.05,15.49,17.3,13.48,5.43,5.03
10187,10187,PSOE,31.52,18.48,13.82,20.81,7.3,6.06
18010,18010,PSOE,42.96,15.99,11.46,15.99,4.3,6.92
18032,18032,PSOE,30.36,26.77,13.26,13.01,8.92,6.2
12091,12091,PSOE,35.61,20.19,16.22,13.2,7,5.56
13205,13205,PSOE,36.28,7.8,8.71,26.66,7.41,11.18
13213,13213,PSOE,35.23,9.72,10.23,26.14,8.71,8.46
13207,13207,PSOE,34.18,11.13,8.01,27.16,7.16,10.99
11171,11171,PSOE,34.96,14.91,17.34,22.22,5.15,3.79
10209,10209,PSOE,30.03,10.05,7,10.56,12.09,17.18
12092,12092,PSOE,38.65,25.9,10.16,14.54,3.78,4.98
11100,11100,PSOE,31.87,22.15,15.46,15.57,8.36,5.54
11095,11095,PSOE,27.17,24.69,14.14,15.38,8.81,7.57
13024,13024,PSOE,41.19,16.39,14.34,17.42,4.71,3.69
13029,13029,PSOE,44.37,9.81,11.9,22.03,4.66,5.31
12089,12089,PSOE,30.75,22.25,14.25,18.5,6,6
12043,12043,PSOE,42.13,19.17,15.01,10.67,6.51,4.88
10188,10188,PSOE,31.68,20.8,18.32,15.27,5.53,5.73
18041,18041,PP,24.59,24.86,18.09,15.47,8.43,5.66
13109,13109,PSOE,40.69,11.27,10.81,21.54,6.33,7.41
11170,11170,PSOE,33.08,23.41,15.78,15.52,7.38,3.05
13116,13116,PSOE,40.4,8.71,12.72,25.45,5.36,5.13
13069,13069,PSOE,43.79,12.43,11.24,24.26,2.96,4.73
10168,10168,PSOE,30.79,26.22,14.02,12.65,9.3,4.57
12088,12088,PSOE,30.69,21.81,15.25,18.73,3.67,6.95
12077,12077,PSOE,35.25,13.75,14.15,24.97,5.07,4.14
12041,12041,PSOE,42.81,17.36,11.07,16.69,4.46,4.96
11120,11120,PSOE,30.89,20.95,14.69,19.01,7.99,5.4
12045,12045,PSOE,36.18,22.66,15.31,10.93,8.75,5.17
10157,10157,PP,4.97,44.75,34.99,3.87,8.84,1.29
13118,13118,PSOE,40.7,11.4,13.49,18.84,6.05,7.21
13032,13032,PSOE,40.61,14.22,13.42,17.97,5.69,6.6
10202,10202,PSOE,26.77,23.77,16.7,18.84,7.71,4.5
18037,18037,PSOE,36.64,20.56,11.03,16.26,7.48,5.98
11173,11173,PSOE,32.82,22.91,17.18,15.86,6.61,3.3
11124,11124,PSOE,26.99,25.77,18.4,15.71,6.38,5.15
13210,13210,PSOE,39,7.34,12.72,26.46,6.41,5.66
13117,13117,PSOE,45.52,12.74,9.67,20.52,4.95,4.01
12108,12108,PSOE,29.19,15.58,14.4,19.51,9.99,9.44
13200,13200,PSOE,36.18,9.61,14.02,28.3,3.2,5.87
18029,18029,PSOE,36.76,17.16,13.24,16.49,8.24,7.3
10203,10203,PSOE,32.74,23.2,13.98,13.98,8.1,6.1
15050,15050,PP,28.09,29.78,16.51,12.19,6.94,3.09
04062,4062,PP,18.05,34.44,19.59,8.19,12.68,5.12
07072,7072,PP,17.58,37.92,17.27,8.16,9.64,6.89
04108,4108,PP,15.16,43.44,22,3.14,10.17,4.25
09025,9025,PP,19.76,40.71,15.2,9.97,8.61,4.05
04060,4060,PP,23.27,32.2,16.48,10.57,8.81,6.04
07052,7052,PP,22.17,30.6,18.31,12.05,8.19,6.99
20023,20023,PSOE,40.65,14.09,12.24,19.86,4.62,6.47
04111,4111,PP,14.76,41.26,25.94,4.23,9.02,3.38
15001,15001,PSOE,28.01,27.16,14.09,10.7,10.87,6.96
20011,20011,PSOE,34.59,15.95,12.97,22.16,5.14,6.76
09081,9081,PP,22.32,32.7,16.26,6.75,11.59,8.82
04063,4063,PP,24.87,28.96,18.73,9.9,9.69,6.46
02082,2082,PSOE,25.43,20.62,11.17,19.93,7.39,11.34
14073,14073,PSOE,32.78,20.43,14.66,17.63,7.74,5.6
14070,14070,PSOE,33.33,21.01,13.94,17.98,6.87,4.85
10052,10052,PSOE,31.14,29.01,14.12,14.31,4.84,4.84
10070,10070,PSOE,29.27,25.54,18.86,11.2,6.29,6.88
10011,10011,PSOE,27.19,26.5,14.29,12.9,8.53,9.45
10074,10074,PP,28.6,28.81,15.84,9.26,9.88,5.14
10039,10039,PSOE,30.71,22.1,15.36,16.85,5.62,6.55
10054,10054,PP,25.33,33.85,12.39,13.27,6.53,6.19
14086,14086,PSOE,29.33,16.68,12,21.28,9.78,7.81
19018,19018,PSOE,42.05,21.37,13.5,12.14,4.79,4.79
01037,1037,PODEMOS-IU,27.36,14.6,6.84,32.53,4.44,12.57
03074,3074,PP,15.35,43.52,18.96,6.14,8.68,5.34
01055,1055,PSOE,25.66,19.47,10.27,25.13,4.42,13.45
14076,14076,PSOE,29.16,26.54,14.77,18.13,5.05,5.05
01038,1038,PODEMOS-IU,24.9,10.62,11.58,33.98,3.28,14.09
02095,2095,PSOE,24.11,23.46,13.57,14.39,12.28,10.17
10042,10042,PSOE,31.12,19.62,12.24,17.99,9.29,7.52
03031,3031,PP,17.65,41.74,14.57,10.36,8.96,5.04
14043,14043,PP,25.67,29.09,16.92,11.79,7.6,7.22
03079,3079,PP,21.12,34.55,18.68,8.79,7.33,7.57
14035,14035,PSOE,30.96,21.1,12.33,20.27,5.21,7.4
02083,2083,PSOE,23.78,19.05,18.17,18.17,8.86,9.31
19020,19020,PSOE,37.6,20.63,12.98,16.47,5.99,3.83
01041,1041,PODEMOS-IU,27.55,12.35,9.26,30.88,5.46,13.06
06024,6024,PP,25,27.17,16.58,12.5,10.87,5.71
05040,5040,PP,26.32,28.73,13.6,12.5,10.09,6.36
20069,20069,PSOE,36.16,15.87,10.93,18.34,8.29,7.58
06023,6023,PP,21.77,30.81,18.06,10.32,10.48,6.61
20091,20091,PSOE,35.44,21.68,11.08,15.19,7.91,5.54
09036,9036,PP,20.06,35.4,15.34,8.7,10.91,6.64
05022,5022,PP,23.72,29.56,17.64,11.44,8.94,6.56
06027,6027,PP,17.16,39.69,17.29,7.3,11.91,4.87
